tipe_dokumen,kategori,jumlah_pengikut,durasi_jam
0,1,5,17.531666666666666
0,2,2,86.62138888888889
0,1,1,305.3566666666667
0,2,2,16.504722222222224
0,1,4,19.815833333333334
0,1,3,19.79277777777778
0,2,1,55.390277777777776
0,1,3,16.285833333333333
0,1,3,16.299444444444443
0,2,2,32.00472222222222
0,2,2,84.36055555555555
0,2,1,65.77833333333334
0,2,1,230.1461111111111
0,2,1,33.68138888888889
0,2,3,199.26722222222222
0,2,1,114.92472222222223
0,2,2,114.94277777777778
0,2,1,115.13888888888889
0,2,2,201.72916666666666
0,2,1,500.15055555555557
0,2,1,225.78583333333333
0,1,2,60.74333333333333
0,2,1,596.1927777777778
0,2,1,247.38611111111112
0,2,3,573.0294444444445
0,2,1,91.22833333333334
0,2,1,91.23916666666666
0,2,1,28.769166666666667
0,1,3,46.54944444444445
0,2,2,152.7425
0,2,5,182.82527777777779
0,2,1,1073.3508333333334
0,2,1,112.4413888888889
0,2,2,116.97583333333333
0,2,1,1312.4405555555556
0,2,4,275.3861111111111
0,2,1,950.1055555555556
0,2,2,1456.4283333333333
0,2,3,15.5875
0,2,2,252.42388888888888
0,2,1,35.12916666666667
0,2,1,20.988055555555555
0,2,1,687.6919444444444
0,2,2,1639.5697222222223
0,2,1,758.0483333333333
0,2,1,437.9172222222222
0,2,1,468.09444444444443
0,2,1,226.48444444444445
0,2,1,15.214166666666667
0,2,2,34.966388888888886
0,2,1,151.07833333333335
0,1,3,64.55305555555556
0,2,1,251.2225
0,2,4,39.763888888888886
0,2,1,1494.1108333333334
0,1,1,32.41444444444444
0,1,1,32.431111111111115
0,1,1,32.44777777777778
0,1,1,32.48
0,2,1,17.023611111111112
0,1,4,135.70083333333332
0,2,6,2409.3997222222224
0,2,2,16.504722222222224
0,2,2,161.98833333333334
0,2,2,161.9725
0,2,1,115.02027777777778
0,2,1,113.55944444444444
0,2,3,135.71444444444444
0,2,1,130.42305555555555
0,2,3,159.72666666666666
0,2,3,199.26722222222222
0,2,2,209.75833333333333
0,2,2,233.65444444444444
0,2,1,114.92472222222223
0,2,2,114.94277777777778
0,2,1,115.13888888888889
0,2,1,29.11722222222222
0,2,2,56.15
0,2,1,38.130833333333335
0,2,1,225.78583333333333
0,2,2,106.27972222222222
0,2,2,518.2933333333333
0,2,1,33.566944444444445
0,2,1,33.48277777777778
0,2,1,225.80972222222223
0,2,1,28.769166666666667
0,2,1,495.28583333333336
0,2,1,44.90888888888889
0,2,2,152.7425
0,2,2,1070.6369444444445
0,2,5,182.82527777777779
0,2,1,112.4413888888889
0,2,2,116.97583333333333
0,2,2,86.43166666666667
0,2,4,275.3861111111111
0,2,1,950.1055555555556
0,2,3,15.5875
0,2,2,252.42388888888888
0,2,1,82.01555555555555
0,2,1,35.12916666666667
0,2,1,20.988055555555555
0,2,1,687.6919444444444
0,2,1,806.1525
0,2,1,758.0483333333333
0,2,1,15.214166666666667
0,2,1,33.57972222222222
0,2,1,330.34472222222223
0,2,1,58.160833333333336
0,2,1,234.9438888888889
0,2,2,87.23333333333333
0,2,1,237.575
0,2,4,765.7097222222222
0,2,4,39.763888888888886
0,2,1,1494.1108333333334
0,2,1,563.2247222222222
0,2,1,17.023611111111112
0,2,2,443.07472222222225
0,2,2,40.891666666666666
0,2,1,1352.0116666666668
0,2,6,2409.3997222222224
